symbol,direction,confidence,raw_confidence,entry_date,entry_price,exit_date,exit_price,stop_loss,target,pnl_pct,exit_reason
INFY,BUY,0.5086,0.6779,2026-03-05 00:00:00+05:30,1305.8,2026-03-11 00:00:00+05:30,1278.7,1278.7,1373.55,-2.075,stop_loss
INFY,SELL,0.7207,0.9301,2026-03-12 00:00:00+05:30,1265.8,2026-03-12 00:00:00+05:30,1265.8,1292.9,1198.05,0.0,end_of_period
SBIN,BUY,0.609,0.8264,2025-07-23 00:00:00+05:30,806.12,2025-07-25 00:00:00+05:30,795.32,795.32,833.12,-1.34,stop_loss
SBIN,BUY,0.5466,0.7385,2025-07-28 00:00:00+05:30,783.04,2025-08-04 00:00:00+05:30,781.61,772.24,810.03,-0.182,max_hold
SBIN,BUY,0.5071,0.6711,2025-08-06 00:00:00+05:30,790.89,2025-08-07 00:00:00+05:30,780.1,780.1,817.89,-1.365,stop_loss
SBIN,SELL,0.5769,0.7501,2025-08-08 00:00:00+05:30,790.06,2025-08-11 00:00:00+05:30,800.86,800.86,763.06,-1.367,stop_loss
SBIN,BUY,0.7741,0.9591,2025-08-12 00:00:00+05:30,806.07,2025-08-19 00:00:00+05:30,815.7,795.27,833.07,1.194,max_hold
SBIN,BUY,0.5227,0.6966,2025-08-21 00:00:00+05:30,811.08,2025-08-25 00:00:00+05:30,800.28,800.28,838.08,-1.331,stop_loss
SBIN,BUY,0.5897,0.7738,2025-08-26 00:00:00+05:30,793.55,2025-09-02 00:00:00+05:30,789.67,782.75,820.54,-0.489,max_hold
SBIN,BUY,0.6799,0.9,2025-09-03 00:00:00+05:30,797.77,2025-09-09 00:00:00+05:30,794.53,786.97,824.77,-0.406,end_of_period
SBIN,SELL,0.7986,0.964,2025-10-23 00:00:00+05:30,895.41,2025-10-27 00:00:00+05:30,903.42,903.42,875.4,-0.894,stop_loss
SBIN,SELL,0.7709,0.9453,2025-10-28 00:00:00+05:30,913.78,2025-10-29 00:00:00+05:30,921.78,921.78,893.76,-0.876,stop_loss
SBIN,SELL,0.7022,0.8896,2025-10-30 00:00:00+05:30,917.81,2025-10-31 00:00:00+05:30,925.81,925.81,897.79,-0.872,stop_loss
SBIN,SELL,0.5757,0.721,2025-11-03 00:00:00+05:30,932.88,2025-11-04 00:00:00+05:30,940.89,940.89,912.87,-0.858,stop_loss
SBIN,SELL,0.738,0.9162,2025-11-06 00:00:00+05:30,943.74,2025-11-13 00:00:00+05:30,937.11,951.74,923.72,0.703,max_hold
SBIN,SELL,0.8116,0.9737,2025-11-14 00:00:00+05:30,950.71,2025-11-17 00:00:00+05:30,958.72,958.72,930.7,-0.842,stop_loss
SBIN,SELL,0.6767,0.881,2025-11-18 00:00:00+05:30,955.23,2025-11-19 00:00:00+05:30,963.24,963.24,935.22,-0.838,stop_loss
SBIN,SELL,0.604,0.7719,2025-11-20 00:00:00+05:30,964.17,2025-11-26 00:00:00+05:30,972.18,972.18,944.16,-0.83,stop_loss
SBIN,SELL,0.6401,0.8523,2025-11-28 00:00:00+05:30,961.67,2025-12-01 00:00:00+05:30,969.67,969.67,941.65,-0.832,stop_loss
SBIN,SELL,0.5732,0.77,2025-12-03 00:00:00+05:30,934.21,2025-12-05 00:00:00+05:30,942.22,942.22,914.2,-0.857,stop_loss
SBIN,BUY,0.6047,0.8223,2026-01-23 00:00:00+05:30,1011.27,2026-01-29 00:00:00+05:30,1050.7,995.5,1050.7,3.899,target
SBIN,SELL,0.6958,0.8893,2026-02-03 00:00:00+05:30,1045.36,2026-02-05 00:00:00+05:30,1061.13,1061.13,1005.93,-1.509,stop_loss
SBIN,SELL,0.5136,0.6816,2026-02-06 00:00:00+05:30,1047.52,2026-02-09 00:00:00+05:30,1063.29,1063.29,1008.09,-1.506,stop_loss
SBIN,SELL,0.6129,0.8009,2026-02-10 00:00:00+05:30,1123.84,2026-02-11 00:00:00+05:30,1139.62,1139.62,1084.41,-1.403,stop_loss
SBIN,SELL,0.6067,0.7974,2026-02-12 00:00:00+05:30,1171.29,2026-02-16 00:00:00+05:30,1187.06,1187.06,1131.86,-1.347,stop_loss
SBIN,SELL,0.5743,0.7424,2026-02-17 00:00:00+05:30,1191.92,2026-02-23 00:00:00+05:30,1207.69,1207.69,1152.48,-1.323,stop_loss
SBIN,SELL,0.5921,0.8082,2026-02-24 00:00:00+05:30,1201.64,2026-03-02 00:00:00+05:30,1162.21,1217.41,1162.21,3.282,target
SBIN,BUY,0.5922,0.7995,2026-03-04 00:00:00+05:30,1153.7,2026-03-05 00:00:00+05:30,1137.93,1137.93,1193.14,-1.367,stop_loss
SBIN,BUY,0.641,0.8512,2026-03-06 00:00:00+05:30,1122.76,2026-03-09 00:00:00+05:30,1106.99,1106.99,1162.19,-1.405,stop_loss
SBIN,BUY,0.6896,0.8827,2026-03-10 00:00:00+05:30,1092.51,2026-03-11 00:00:00+05:30,1076.73,1076.73,1131.94,-1.444,stop_loss
SBIN,BUY,0.737,0.9345,2026-03-12 00:00:00+05:30,1065.99,2026-03-12 00:00:00+05:30,1065.99,1050.21,1105.42,0.0,end_of_period
NIFTY50,BUY,0.6877,0.8658,2025-07-22 00:00:00+05:30,25060.9,2025-07-25 00:00:00+05:30,24821.26,24821.26,25660.01,-0.956,stop_loss
NIFTY50,BUY,0.5205,0.6548,2025-07-29 00:00:00+05:30,24821.1,2025-08-01 00:00:00+05:30,24581.46,24581.46,25420.21,-0.965,stop_loss
NIFTY50,BUY,0.636,0.8231,2025-08-04 00:00:00+05:30,24722.75,2025-08-07 00:00:00+05:30,24483.11,24483.11,25321.86,-0.969,stop_loss
NIFTY50,BUY,0.5401,0.7031,2025-08-08 00:00:00+05:30,24363.3,2025-08-18 00:00:00+05:30,24962.41,24123.66,24962.41,2.459,target
NIFTY50,BUY,0.7179,0.9242,2025-08-19 00:00:00+05:30,24980.65,2025-08-26 00:00:00+05:30,24741.01,24741.01,25579.76,-0.959,stop_loss
NIFTY50,BUY,0.5909,0.7824,2025-09-03 00:00:00+05:30,24715.05,2025-09-09 00:00:00+05:30,24868.6,24475.41,25314.16,0.621,end_of_period
NIFTY50,SELL,0.5389,0.7002,2025-10-23 00:00:00+05:30,25891.4,2025-10-29 00:00:00+05:30,26084.86,26084.86,25407.76,-0.747,stop_loss
NIFTY50,SELL,0.7273,0.9299,2025-10-30 00:00:00+05:30,25877.85,2025-11-06 00:00:00+05:30,25509.7,26071.31,25394.21,1.423,max_hold
